index,UFD,Starname,RA(J2016),Dec(J2016),R/R_h,RV,G,BP-RP,PSAT,[Fe/H],source,col14,col15,col16,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pm,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_rp_mean_flux,phot_rp_mean_flux_error,Separation
155,BooI,â,210.02997,15.2386,3.96,96.80,19.78,0.93,0.75,-3.99,n,,,,1231095269513901568,210.02997143888967,0.37191904,15.238599705399556,0.3123072,0.0937977413649044,0.45014307,1.0503068,-0.20980535366594072,0.4749533,-1.0291384681752869,0.37532955,19.775043,20.140078,19.211836,231.7016064674361,0.84854406,120.05645519032521,6.912871,163.84136059238534,5.044575,0.005109160038656962
156,BooI,â,210.03399,14.92352,2.27,116.00,19.88,0.85,0.74,-2.59,n,,,,1231068881234192640,210.03399493489076,0.4096536,14.923519973960468,0.3315279,-0.2954955337867908,0.50659096,1.2623858,0.4297548456420251,0.5435316,-1.1869830241658026,0.4057539,19.882336,20.270529,19.42411,209.89991621871965,0.8517735,106.46467417272295,6.24094,134.7455453339605,6.797605,0.01716663675187831
157,BooI,â,209.99684,13.99147,2.72,104.40,19.29,0.96,0.76,-2.45,n,,,,1230672610372099968,209.99684475431678,0.24184807,13.991471188038819,0.2223993,-0.7218998704916,0.3308984,1.6025344,-0.5741765016480325,0.3398171,-1.4961409397055854,0.2499457,19.286497,19.638247,18.680864,363.3687118918156,0.9511189,190.5978168422421,9.855486,267.1851674623748,10.746921,0.017149625071887754
158,BooI,â,210.04421,14.63995,0.75,101.19,19.36,1.06,0.99,-3.00,k,n,,,1230849081988080768,210.04421105641137,0.25339276,14.639954357974949,0.19807893,-0.03328128709435653,0.31303394,1.1996722,0.11355961408083584,0.31745896,-1.1942853627946788,0.24002789,19.360817,19.819515,18.763117,339.3280280095499,0.8809978,161.29123500110128,8.7260685,247.69182772047924,8.817491,0.016114438347402338
159,BooI,â,209.98056,14.58134,0.55,100.03,19.14,1.1,1.0,-2.60,k,n,p,,1230848326073809152,209.9805551316885,0.27321702,14.581343218544985,0.21121146,0.12240979849314416,0.2915244,1.3543897,0.026573465206857272,0.34841627,-1.3541289584588803,0.25465915,19.138521,19.659935,18.563877,416.4263190263478,1.0103062,186.8284370562599,6.2316117,297.5826830042288,7.881889,0.02054125720022122
160,BooI,â,209.93098,14.57732,0.79,99.81,20.26,0.79,0.75,-2.28,k,p,,,1230847089123225856,209.9309822774418,0.58174354,14.577315056195086,0.4877145,-0.6633769112246904,0.67546165,2.5550613,0.9258235929686975,0.76552755,-2.3814259602187398,0.65603304,20.26244,20.607904,19.81668,147.90090132661854,0.78398806,78.02883186814196,6.7369847,93.86111232270767,7.1487536,0.019486407635224245
161,BooI,â,209.93573,14.61934,0.92,97.93,19.87,1.04,0.99,-2.43,k,p,,,1230849425585454720,209.93572700358465,0.35486275,14.619339593244325,0.32194588,0.1646698440348894,0.42326108,1.1685447,0.028059895314372682,0.47116512,-1.1682077149261019,0.4357265,19.870462,20.383028,19.338747,212.20808278639612,0.7942649,95.98550109475192,5.931963,145.76703632271554,8.77905,0.010540066465232274
162,BooI,â,209.93776,14.39093,0.81,102.84,20.75,0.45,0.82,-1.99,k,p,,,1230826988676907648,209.93775755293635,1.2622321,14.390926309937301,1.1190425,3.987896006450454,1.926464,2.1348472,-0.7296897556288618,2.301385,2.0062715840748,1.7651995,20.752098,20.897326,20.445206,94.21230819888997,1.1231498,59.7704373170259,9.737982,52.61088591810247,5.162463,0.01578869650292195
163,BooI,â,209.94307,14.41995,0.68,98.07,19.89,0.85,0.55,-2.62,k,p,,,1230827297914411776,209.9430725166158,0.35765383,14.419950313482127,0.3038171,-0.09634561501285623,0.43599603,2.127674,0.6285384586233785,0.47618037,-2.0327166379549464,0.37575486,19.88627,20.247683,19.3977,209.14054833658886,0.854329,108.72865717216496,7.583216,138.06329625412624,7.830742,0.008846677688100546
164,BooI,â,209.95056,14.61297,0.82,103.20,20.37,0.82,0.8,-2.14,k,p,,,1230848772750422272,209.95055964694072,0.5580715,14.6129656548251,0.5229901,-0.8678652913639229,0.69963235,1.1429011,-1.0748961500926493,0.9564547,-0.3883568520539481,0.8690703,20.372946,20.59917,19.778212,133.58821607972175,0.806148,78.65905927000716,6.5422616,97.24643016610739,6.081372,0.01569090542582528
165,BooI,â,209.95224,14.70124,1.22,111.75,19.82,0.86,0.95,-2.19,k,p,,,1230853376955406848,209.95223673455303,0.33226836,14.7012377133487,0.27190024,0.7167028924340262,0.40142247,1.5921384,-0.36990494617169456,0.41737995,-1.5485719509329101,0.35735232,19.822235,20.15,19.288935,221.84668639142868,0.7698232,118.96436134073103,9.013679,152.61035211403828,10.448779,0.014037771537515398
166,BooI,â,209.96213,14.50077,0.43,99.94,16.51,1.43,1.0,-2.26,k,p,,,1230834620833562624,209.96212706068988,0.04548511,14.500773005917123,0.03988652,0.11334203393645818,0.055423707,1.1595359,-0.5394595157124966,0.06284254,-1.026404798498547,0.051290203,16.511745,17.160864,15.725981,4680.031026589218,2.9346695,1866.6872317632676,9.711197,4062.244743725233,14.089364,0.014901308911476348
167,BooI,â,209.96544,14.59537,0.68,99.94,18.83,1.1,0.98,-2.33,k,p,,,1230848600951721600,209.9654401317302,0.18845023,14.595370165207925,0.15377104,0.39062192390904177,0.21317472,1.5251747,-0.8062512980545973,0.2432786,-1.2946493420136616,0.1941084,18.826504,19.328102,18.229042,555.0668954399196,1.094551,253.61577071019767,8.714389,405.08052642917215,7.846531,7.512244037033058E-4
168,BooI,â,209.97132,14.45955,0.41,104.70,20.36,0.95,0.98,-2.56,k,p,,,1230833413947850752,209.97132347671715,0.53611153,14.4595458033875,0.5147572,0.08920313371454543,0.633219,1.1593282,0.3030404131251308,0.77336377,-1.1190212230095968,0.70918745,20.35528,20.645605,19.692202,135.77971376194714,0.7706103,75.36590414481404,8.593484,105.26351254982848,8.487786,0.019368361222578307
169,BooI,â,210.00099,14.54305,0.29,108.27,20.12,1.01,0.99,-1.78,k,p,,,1230836471964048768,210.000989019686,0.44038433,14.543046732066351,0.38346156,0.17230545679101983,0.5668448,0.92325795,-0.4549610120646318,0.5832503,-0.8033777181696583,0.48436958,20.118137,20.57082,19.562042,168.9242285595896,0.7951446,80.74005515808021,7.633188,118.67002046092324,9.828288,0.012250482718387825
170,BooI,â,210.00639,14.36506,0.73,103.50,19.35,1.03,0.99,-2.50,k,p,,,1230823724501603200,210.00638779694518,0.28985623,14.365059603216794,0.24139704,0.13051673587065077,0.35065624,1.3590771,0.04247468480093891,0.38770503,-1.3584131937318684,0.30519122,19.350088,19.76625,18.732265,342.6979786407071,0.98398054,169.40139803669106,8.082339,254.83071010070933,7.270806,0.007814688836836227
