source_id,ra,dec,pmra,pmdec,FeH,e_FeH,Dist,e_Dist
2429510064152111104,1.9023,-8.2457,-1.6348,-3.6330,-1.68,0.43,19.25,1.56
2429838238308586240,6.2058,-8.8665,-1.3966,-3.5251,-1.54,0.85,21.62,2.19
2433171854484645120,352.5878,-12.4606,-1.7124,-3.2361,-1.71,0.49,20.27,1.72
2433336639494657408,353.6108,-11.7165,-1.7587,-3.4059,-1.91,0.42,21.80,1.81
2435346684188907648,355.6536,-10.4084,-1.8356,-3.8303,-1.60,0.42,18.77,1.44
2436069273782405248,358.4178,-8.5006,-1.4750,-3.2597,-1.35,0.46,20.86,1.50
2436987121177778048,351.8799,-9.8878,-1.5659,-3.2171,-1.30,0.57,21.12,1.97
6322502643546316544,230.9670,-6.8843,-0.9459,-1.1158,-1.79,0.47,55.11,7.57
6322517693111025024,230.6040,-6.8379,-1.1995,-0.6378,-2.35,0.43,52.17,5.33
6322842083401720576,230.2236,-5.7485,-0.8704,-0.8613,-1.81,0.45,53.39,5.10
6323029756292678656,230.8860,-5.1372,-0.6310,-0.8954,-1.74,0.50,50.91,6.28
6323551165322010112,218.9240,-12.8339,-1.2716,-1.1093,-1.57,0.50,35.31,3.15
6323557938486263040,219.2708,-12.6525,-1.0965,-0.2051,-1.39,0.45,45.98,4.84
6323815838386630016,221.5180,-12.0536,-1.1666,-0.4882,-1.69,0.55,59.10,6.61
6324302788894606720,218.1424,-12.2124,-1.6386,-0.5431,-2.26,0.46,46.50,5.17
6324712868076495232,217.9003,-11.2488,-1.7132,-0.8026,-1.43,0.58,46.73,5.45
6324899132217768320,220.2259,-11.0833,-0.6358,-0.5718,-1.38,0.51,51.78,6.38
6325175796831232512,219.5577,-10.5324,-1.4100,-0.7719,-2.08,0.52,54.65,7.13
6325388895928624896,222.1073,-11.3819,-1.5320,-0.4714,-1.74,0.54,51.99,6.63
6325563344616131840,223.1365,-10.5306,-1.2578,-0.2620,-2.03,0.46,46.61,5.70
6326133849416469888,224.0949,-9.3531,-1.0243,-0.3096,-1.20,0.56,51.89,5.51
6326754008334666368,220.2741,-9.7555,-1.1355,-0.4096,-1.75,0.51,55.03,6.68
6327662685974740864,216.2211,-11.1547,-1.3612,-0.4841,-1.77,0.75,58.75,7.32
6327896302131907328,215.9804,-10.8439,-1.1912,-0.3780,-1.65,0.58,56.71,5.97
6328025181215119360,217.0484,-10.2593,-1.2833,-0.0346,-2.56,0.49,53.82,5.37
6328682551729469568,217.9056,-8.4773,-1.2755,-0.3299,-1.94,0.48,52.68,4.84
6328875344220923520,216.4293,-9.5223,-0.8411,-0.3636,-2.01,0.62,56.99,6.93
6329005258391628928,214.7326,-9.7531,-1.2380,-1.1524,-1.39,0.67,30.71,3.13
6329112117178620416,215.0565,-9.3782,-1.6094,-0.3653,-1.46,0.63,55.89,6.06
6329892564275437824,219.2640,-8.9663,-0.5394,-0.3603,-1.59,0.58,46.07,4.84
6329901051130819200,218.8964,-8.9629,-1.3423,-0.4334,-1.48,0.54,47.00,4.08
6330100200175055616,218.8929,-8.7784,-1.2150,-1.0452,-1.88,0.56,39.30,3.64
6330654839366635264,220.0430,-7.7254,-1.4627,-0.1198,-1.63,0.61,54.00,5.67
6330739841063568768,219.8805,-7.1279,-1.3755,-0.5873,-2.11,0.45,52.53,5.44
6331211565911772032,218.7171,-6.7283,-1.0209,-0.0420,-1.96,0.46,46.26,5.17
6331428242717549696,217.6115,-6.8234,-0.9424,-0.8546,-1.36,0.68,48.82,5.54
6331986309292785920,219.6355,-5.2978,-0.7596,-0.4681,-1.82,0.53,58.11,5.79
6332090006983119360,225.0566,-9.1860,-1.1516,-0.2088,-2.70,0.46,55.28,5.47
6332145257442249472,224.7642,-9.0058,-1.6448,-0.4687,-1.92,0.39,47.73,6.47
6332373062507641472,224.3657,-8.5098,-1.2878,-0.6021,-1.87,0.75,54.01,7.14
6332494459759017600,225.2948,-8.1210,-1.5704,-0.5258,-2.03,0.52,49.83,5.00
6332639041242162304,226.5260,-8.0463,-0.7114,-0.6775,-1.73,0.46,56.28,5.90
6332844787355744896,226.9669,-7.2595,-1.2870,-0.6926,-2.29,0.56,52.43,5.70
6333068434892542464,226.1596,-6.9149,-1.6037,-0.7615,-1.69,0.46,52.57,6.64
6333544729586024064,222.4085,-7.3148,-1.0092,-0.3118,-1.90,0.50,49.67,5.63
6333666019462589568,223.8758,-6.5409,-0.8971,-0.7647,-2.03,0.62,47.70,5.02
6333735907170710656,223.4404,-6.2878,-0.8387,-0.4105,-1.27,0.45,53.21,6.13
6334059953863516160,224.2915,-6.1414,-1.3541,-0.3064,-1.41,0.65,49.91,5.46
6334125649682529024,223.7043,-5.9305,-1.0039,-0.3637,-1.14,0.96,44.76,4.07
4046871297629765504,277.7330,-31.3738,-2.2592,-1.1744,-2.17,0.51,25.63,2.23
6883197090597700480,314.9391,-16.7229,-2.1344,-2.9303,-1.31,0.44,16.86,1.58
4361331824988345984,259.2815,-6.3885,-1.6341,-1.4278,-1.03,0.54,19.08,1.55
