index,source_id,UFD,Starname,RA(J2016),Dec(J2016),R/R_h,RV,G,BP-RP,PSAT,[Fe/H],source,,,
200,—,BooI,SDSSJ135947.06+142852.5,209.94608,14.48125,0.54,103.70,21.20,0.00,0.00,-2.07,p,,,
201,—,BooI,SDSSJ135950.75+143114.2,209.96146,14.52061,0.46,94.80,21.45,0.12,0.00,-2.04,p,,,
202,—,BooI,SDSSJ140000.99+143126.7,210.00412,14.52408,0.20,107.60,21.55,-0.03,0.00,-2.47,p,,,
203,—,BooI,SDSSJ140010.61+143823.8,210.04421,14.63994,0.75,101.10,19.54,0.22,0.00,-2.37,p,,,
204,—,BooI,SDSSJ140015.80+143446.8,210.06588,14.57967,0.49,118.60,21.53,-0.03,0.00,-2.93,p,,,
205,—,BooI,SDSSJ140023.33+142607.9,210.09721,14.43556,0.62,93.40,21.53,0.10,0.00,-1.11,p,,,
206,—,BooI,SDSSJ140028.93+142502.2,210.12058,14.41728,0.82,101.30,21.54,0.05,0.00,-2.33,p,,,
207,—,BooI,SDSSJ140057.91+142854.0,210.24133,14.48167,1.49,98.50,21.34,-0.02,0.00,-2.05,p,,,
208,1230849361161115904,BooI,—,210.01448,14.66452,0.89,105.50,21.38,1.07,0.00,—,p,,,
209,—,BooI,SDSSJ135934.37+143017.1,209.89321,14.50475,0.91,77.90,21.62,0.09,0.00,—,p,,,
210,—,BooI,SDSSJ135945.70+142552.5,209.94046,14.43125,0.66,99.00,22.03,0.09,0.00,—,p,,,
211,—,BooI,SDSSJ135951.07+143049.8,209.96283,14.51383,0.44,104.80,21.68,0.03,0.00,—,p,,,
212,—,BooI,SDSSJ135953.00+142232.1,209.97088,14.37558,0.74,102.30,21.93,-0.06,0.00,—,p,,,
213,—,BooI,SDSSJ140002.28+142653.4,210.00954,14.44817,0.29,108.70,21.47,0.11,0.00,—,p,,,
214,—,BooI,SDSSJ140010.30+142626.5,210.04296,14.44072,0.35,102.10,21.70,0.09,0.00,—,p,,,
215,—,BooI,SDSSJ140020.58+143734.0,210.08579,14.62611,0.77,104.40,21.87,0.02,0.00,—,p,,,
216,—,BooI,SDSSJ140023.37+143245.2,210.09742,14.54589,0.54,97.40,21.28,-0.06,0.00,—,p,,,
217,1230834925776358656,BooI,—,209.94143,14.52796,0.60,131.30,19.46,0.51,0.99,—,l,,,
218,1230841110529260032,BooI,—,209.75971,14.50644,1.82,92.14,17.64,1.16,1.00,—,l,,,
219,1230819841851105536,BooI,—,209.90330,14.19465,1.78,91.00,19.08,1.12,0.99,—,l,,,
220,1230774624435416832,BooI,—,210.01257,14.21000,1.55,95.00,19.48,0.92,0.96,—,l,,,
221,1230767271451373824,BooI,—,210.02437,14.05914,2.36,95.30,18.32,1.13,0.99,—,l,,,
222,1230775449069163520,BooI,—,210.02693,14.27514,1.21,114.00,19.34,0.95,0.94,—,l,,,
223,1229895702327886336,BooI,—,210.07118,13.65910,4.54,98.00,18.71,1.12,0.93,—,l,,,
224,1230873275539233536,BooI,—,210.13332,14.71734,1.34,105.03,17.46,1.26,1.00,—,l,,,
225,1230713292302089728,BooI,—,209.15700,14.10564,6.18,—,19.43,0.33,0.75,—,—,,,
226,1230745590456548096,BooI,—,209.48188,14.31368,3.79,—,19.69,0.12,0.99,—,—,,,
227,1230744456585187328,BooI,—,209.61219,14.33958,2.90,—,20.64,1.18,0.52,—,—,,,
228,1231064517547444736,BooI,—,209.61268,15.01416,4.08,—,19.52,0.45,0.90,—,—,,,
229,1230717346751479808,BooI,—,209.67074,14.03534,3.36,—,18.70,1.08,0.97,—,—,,,
230,1231039885910013440,BooI,—,209.67834,14.66212,2.59,—,19.29,0.99,0.96,—,—,,,
231,1230731468604067328,BooI,—,209.68330,14.27127,2.57,—,20.61,1.03,0.69,—,—,,,
232,1231547855987547392,BooI,—,209.68346,15.73852,7.19,—,19.67,0.22,0.65,—,—,,,
233,1231048127952212224,BooI,—,209.68586,14.88807,3.22,—,19.76,0.55,0.76,—,—,,,
234,1230668281045015808,BooI,—,209.69574,13.90590,3.77,—,19.72,0.19,0.98,—,—,,,
235,1230837949433295872,BooI,—,209.74540,14.38947,1.97,—,20.56,0.86,0.63,—,—,,,
236,1230852483602707456,BooI,—,209.75847,14.67250,2.10,—,20.16,0.99,0.84,—,—,,,
237,1230825339409289728,BooI,—,209.77648,14.31665,1.91,—,19.39,0.52,0.84,—,—,,,
238,1230826060963809792,BooI,—,209.77952,14.35699,1.80,—,20.36,0.80,0.79,—,—,,,
239,1230850971774212608,BooI,—,209.78081,14.61713,1.83,—,19.68,0.05,1.00,—,—,,,
240,1231097197954353920,BooI,—,209.78656,15.21846,4.29,—,19.65,0.92,0.72,—,—,,,
241,1230839495621857024,BooI,—,209.78757,14.40695,1.67,—,20.06,0.91,0.87,—,—,,,
242,1230668693361894144,BooI,—,209.79164,13.93685,3.32,—,19.52,0.44,0.69,—,—,,,
243,1231042321156413696,BooI,—,209.79239,14.77654,2.25,—,20.55,0.97,0.76,—,—,,,
244,1230841144888992256,BooI,—,209.79748,14.48898,1.56,—,19.69,0.10,1.00,—,—,,,
