source_id,Cluster,likelihood,prior,posterior,RVflag,SOS,classifier,G23,C17,New,Final,_RA,_DE
6029368376823146752,NGC_6266_M_62, 0.1505508857406116, 0.6278953814828282, 9.4530205834678999e-02,False,True ,True ,True ,False,False,True ,255.27614,-30.08886
6029368381129347712,NGC_6266_M_62, 0.0107569093109369, 0.7309340532302223, 7.8625913228729995e-03,False,True ,True ,True ,False,False,True ,255.27757,-30.10458
6029368381129490304,NGC_6266_M_62, 0.6920951836568865, 0.6457808086021173, 4.4694178733157502e-01,False,True ,True ,True ,False,False,True ,255.27955,-30.08789
6029368415489001856,NGC_6266_M_62, 0.6854564485146324, 0.8624261185975298, 5.9115554436012197e-01,False,True ,True ,True ,False,False,True ,255.29837,-30.09622
6029368415589544192,NGC_6266_M_62, 0.0643677351421612, 0.9988800896006410, 6.4295649046192296e-02,False,True ,True ,True ,False,False,True ,255.29863,-30.10570
6029368415591024000,NGC_6266_M_62, 0.1506233231965276, 0.9360772554488960, 1.4099506698439759e-01,False,True ,True ,True ,False,False,True ,255.30697,-30.10044
6029368445542663168,NGC_6266_M_62, 0.6013120912646930, 0.6470394063230994, 3.8907261854680830e-01,False,True ,True ,True ,False,False,True ,255.31536,-30.08062
6029368479902370048,NGC_6266_M_62, 0.0614839727702816, 0.7083095509436552, 4.3549685143150003e-02,False,True ,True ,True ,False,False,True ,255.28578,-30.08990
6029368479902374528,NGC_6266_M_62, 0.0971198925354015, 0.6221789035535956, 6.0425948250919098e-02,False,True ,True ,True ,False,False,True ,255.29020,-30.07909
6029368479902377088,NGC_6266_M_62, 0.1698602945389398, 0.7344106051566411, 1.2474720170442800e-01,False,True ,True ,True ,False,False,True ,255.29285,-30.08836
6029368479902379904,NGC_6266_M_62, 0.6458390339174351, 0.7120694967674940, 4.5988227587439251e-01,False,True ,True ,True ,False,False,True ,255.29624,-30.08535
6029368484310605184,NGC_6266_M_62, 0.8210341670655169, 0.6742213145276212, 5.5355873539100342e-01,False,True ,True ,True ,False,False,True ,255.28503,-30.08689
6029368548621571328,NGC_6266_M_62, 0.4234056352656188, 0.5632254359265102, 2.3847282349621909e-01,False,True ,True ,True ,False,False,True ,255.26187,-30.10040
6029368548621829632,NGC_6266_M_62, 0.4418699299267596, 0.5802463566979312, 2.5639341697437240e-01,False,True ,True ,True ,False,False,True ,255.26469,-30.09794
6029368582981570176,NGC_6266_M_62, 0.0698567538311308, 0.5562104456697632, 3.8855056181456203e-02,False,True ,True ,True ,False,False,True ,255.26807,-30.08703
6029368587287993344,NGC_6266_M_62, 0.6773762818748414, 0.5523232208782710, 3.7413064975165999e-01,False,True ,True ,True ,False,False,True ,255.26538,-30.09003
6029368690367277696,NGC_6266_M_62, 0.3745333013055907, 0.5281635827223987, 1.9781485026640841e-01,False,True ,True ,True ,False,False,True ,255.27555,-30.07595
6029368724727004800,NGC_6266_M_62, 0.9557150929175220, 0.5279368829192967, 5.0455724711380268e-01,False,True ,True ,True ,False,False,True ,255.28573,-30.07062
6029368759188584320,NGC_6266_M_62, 0.0623808736270716, 0.4686780851355919, 2.9236548400621200e-02,False,True ,True ,True ,False,False,True ,255.27330,-30.06905
6029368789140003840,NGC_6266_M_62, 0.8865316328200278, 0.3778179209650729, 3.3494753838183428e-01,False,True ,True ,True ,True ,False,True ,255.27329,-30.05482
6029368789140005888,NGC_6266_M_62, 0.6097549581674657, 0.3578342608806864, 2.1819121477418890e-01,False,True ,True ,True ,False,False,True ,255.27536,-30.05050
6029368857852851200,NGC_6266_M_62, 0.2351374901671369, 0.2232552359136904, 5.2495675839417201e-02,False,True ,True ,True ,False,False,True ,255.20218,-30.10976
6029369171505228672,NGC_6266_M_62, 0.7836172223506194, 0.1017033931119124, 7.9696530413989899e-02,False,True ,True ,True ,False,False,True ,255.15694,-30.07967
6029369549462623232,NGC_6266_M_62, 0.0886028924780472, 0.3002014762348737, 2.6598719120589500e-02,False,True ,True ,True ,False,False,True ,255.27307,-30.04049
6029369579407892352,NGC_6266_M_62, 0.5983159497071040, 0.2190500142934510, 1.3106111733534079e-01,False,True ,True ,True ,True ,False,True ,255.23714,-30.03972
6029387897465549056,NGC_6266_M_62, 0.4250571573498988, 0.2619601971126592, 1.1134805672352610e-01,False,True ,True ,True ,False,False,True ,255.39432,-30.12228
6029388687814313728,NGC_6266_M_62, 0.7571919878504806, 0.5123343335083300, 3.8793545243322342e-01,False,True ,True ,True ,False,False,True ,255.35288,-30.11507
6029388687844124160,NGC_6266_M_62, 0.7432528285664446, 0.5129339312373705, 3.8123959525988182e-01,False,True ,True ,True ,False,False,True ,255.35308,-30.10918
6029388687844125312,NGC_6266_M_62, 0.0215614093173583, 0.5121727792863210, 1.1043166935401401e-02,False,True ,True ,True ,False,False,True ,255.35313,-30.10799
6029388687844328192,NGC_6266_M_62, 0.9170892187565034, 0.5162660273575603, 4.7346200769986863e-01,False,True ,True ,True ,False,False,True ,255.35267,-30.11114
6029388756459108992,NGC_6266_M_62, 0.6727555190851877, 0.2746631395976895, 1.8478114305361101e-01,False,True ,True ,True ,False,False,True ,255.39207,-30.10355
6029388820889756544,NGC_6266_M_62, 0.2707436929280151, 0.3075306864001696, 8.3261993724669206e-02,False,True ,True ,True ,False,False,True ,255.38002,-30.08384
6029388893898293888,NGC_6266_M_62, 0.0444223305260014, 0.5984927482432730, 2.6586442679877600e-02,False,True ,True ,True ,False,False,True ,255.34205,-30.10094
6029388894002790528,NGC_6266_M_62, 0.7125978667368575, 0.6448727253713995, 4.5953492841644261e-01,False,True ,True ,True ,False,False,True ,255.33683,-30.10000
6029388958306491520,NGC_6266_M_62, 0.2925777461427885, 0.5960295296756393, 1.7438497642704481e-01,False,True ,True ,True ,False,False,True ,255.33774,-30.09125
6029388958306494080,NGC_6266_M_62, 0.4567645968085695, 0.5367764967451888, 2.4518050011213249e-01,False,True ,True ,True ,False,False,True ,255.34279,-30.08726
6029388962692889600,NGC_6266_M_62, 0.0792951079047000, 0.6419948733441333, 5.0907052756087298e-02,False,True ,True ,True ,False,False,True ,255.33377,-30.09351
6029388992666234624,NGC_6266_M_62, 0.4340334247898961, 0.4225055893167914, 1.8338154792404029e-01,False,True ,True ,True ,False,False,True ,255.34554,-30.06908
6029388996977617792,NGC_6266_M_62, 0.0672216353726069, 0.5135613322153539, 3.4522432615650703e-02,False,True ,True ,True ,False,False,True ,255.34285,-30.08294
6029389203210407296,NGC_6266_M_62, 0.8905749968175919, 0.1691894922260619, 1.5067593150079511e-01,False,True ,True ,True ,False,False,True ,255.41201,-30.06468
6029389233178105856,NGC_6266_M_62, 0.8832476451125943, 0.1980642150803486, 1.7493975155079231e-01,False,True ,True ,True ,False,False,True ,255.39755,-30.05904
6029389301897649792,NGC_6266_M_62, 0.6856721101248506, 0.1131771628578072, 7.7602424074656506e-02,False,True ,True ,True ,True ,False,True ,255.43065,-30.04705
6029389409368865280,NGC_6266_M_62, 0.7663674059383646, 0.0917612226835153, 7.0322810193698196e-02,False,True ,True ,True ,True ,False,True ,255.43873,-30.03568
6029389645495269760,NGC_6266_M_62, 0.7372155146072723, 0.1281932572020468, 9.4506058077389293e-02,False,True ,True ,True ,False,False,True ,255.39667,-30.01876
6029391913243973376,NGC_6266_M_62, 0.3437033700593913, 0.6232643974560108, 2.1421807384366681e-01,False,True ,True ,True ,False,False,True ,255.31988,-30.07998
6029391913243978752,NGC_6266_M_62, 0.6474629690333873, 0.6036010720682136, 3.9080934223302111e-01,False,True ,True ,True ,False,False,True ,255.32316,-30.07946
6029391947603726592,NGC_6266_M_62, 0.6501258975027724, 0.4565211335540008, 2.9679621168077780e-01,False,True ,True ,True ,False,False,True ,255.33414,-30.06673
6029391951989626112,NGC_6266_M_62, 0.9965519450271731, 0.4309545702222235, 4.2946861517330631e-01,False,True ,True ,True ,False,False,True ,255.33745,-30.06473
6029391981963439744,NGC_6266_M_62, 0.7176180171681958, 0.5204304631633376, 3.7347027704920011e-01,False,True ,True ,True ,False,False,True ,255.31039,-30.06677
6029392153756103680,NGC_6266_M_62, 0.5974439881206686, 0.2407632345950467, 1.4384254706929681e-01,False,True ,True ,True ,True ,False,True ,255.34210,-30.02916
6029392261227381376,NGC_6266_M_62, 0.8915815993701703, 0.3663019401998088, 3.2658806969574200e-01,False,True ,True ,True ,True ,False,True ,255.29581,-30.04675
6029392634792649856,NGC_6266_M_62, 0.8641865140597672, 0.0990479893081499, 8.5595936604839107e-02,False,True ,True ,True ,True ,False,True ,255.40242,-30.00362
6029392776623481216,NGC_6266_M_62, 0.8043415871625590, 0.1383063705456657, 1.1124556559939371e-01,False,True ,True ,True ,True ,False,True ,255.35044,-29.99792
6029395280493111936,NGC_6266_M_62, 0.9924099837888184, 0.0499181201255825, 4.9539240784597600e-02,False,True ,True ,True ,True ,False,True ,255.36002,-29.93918
6029416141251872896,NGC_6266_M_62, 0.6747573585754418, 0.0995014384260430, 6.7139327766813695e-02,False,True ,True ,True ,False,False,True ,255.15811,-30.07101
2811888666052959232,Pal_13, 0.9826028576574320, 0.0219547772641432, 2.1572826878979500e-02,False,True ,True ,True ,True ,False,True ,346.70357,+12.68967
