source_id,label
2196103884681824384,134
5961428080233810432,-1
5961435600651383296,-1
5961462130709406080,-1
5961481921948290048,135
3828855386086789376,56
3829048045434626432,56
3829108411199518464,136
3829126042040652416,137
3830324299261492096,-1
3830681400022208512,138
3830684389319470080,99
3831453806941168256,45
3831471777084187008,-1
3840021064105805440,-1
4658034698516196736,-1
4658035072266958848,4
4658035244065642240,4
4658037786551818112,-1
4658040883268535168,4
4658041944078239488,139
4658043249725459072,4
5278415060466677376,4
5278435062135277440,4
5278512367243173632,4
5278530268667706496,4
5278543428447897088,4
5278546417749448320,4
5278552018385140352,4
5278579510469369344,4
5278594972349555328,4
5278610086343652992,4
5278690286263560832,-1
5278692377914753280,4
5278693855383046400,4
5278754809557423744,4
5278757077300243712,4
1836727306556036352,-1
1837085609903393536,140
2195750146876812032,-1
2265147094573959680,-1
2265978772039868160,-1
2266168923126876800,-1
2196729781672133376,-1
2268895913827623040,-1
3828967162610494336,141
3829151154714163840,99
3829153422456796160,-1
3829154899925653376,142
3829158473338470528,99
3829177955310314112,92
3830688478128357120,141
3831477863052764032,-1
2252050880293836288,-1
3837316677818422912,-1
3839189249199582464,-1
4658033938392272000,4
4658035179593088512,-1
4658036794460184192,-1
4469996391668412160,-1
4317946715404930432,-1
4318034843797970432,-1
2242928305336052480,-1
2242950016392586496,-1
4318147616785485824,-1
5278221168459981696,4
5278239138603502464,4
5278291335348863744,4
5278295144977356544,4
5278464950807649024,4
5278488727746643200,4
5278647435377393280,4
5278677504444280960,4
5278703063790953600,4
5278710451135217792,-1
5278725500701176960,4
1836797400420998272,-1
2264328340662716928,-1
2264876580353609728,-1
2266005851809231744,-1
2266465649533268736,-1
5961426190410034048,-1
5961570909306883200,-1
3829079274142042112,143
3829154590687922048,144
3829169949491013120,142
3830664013994573952,-1
3830702634340812672,99
3830712804822924288,56
3830716893632244864,141
3835737920854082816,-1
3837053001185707904,-1
2252452751794689152,145
3829149234864039296,-1
3829155488336400768,36
3829165551444840320,92
3829170091225347584,144
3835083127319965568,-1
2251979381973327616,-1
2253228148010499712,-1
4658032667124767872,4
4658033079398870528,4
4658037133849745664,4
4658039848136167680,4
4658042017143232640,4
4658047819636902144,4
4658049022331139584,4
4658058990815016064,4
4658060674484601088,4
4658061975928214656,4
4658063075438245504,4
4658063968797700352,4
4658067645261504768,4
4658067993076683648,4
4658071768373192064,4
4658053252741105792,4
4658073937309043840,4
4658074036158696448,4
4658074757669097984,4
4658076067612643456,4
4658077270264610688,4
4658077850096186496,-1
4658080014765730688,4
4658086508742288896,4
4658086543100656640,4
4658086822255935872,4
4658087509450625792,4
4658088712058335232,4
4658092899646918784,4
4658094239598292864,146
4658095996215822976,4
4658097916143673600,4
4658100080831202432,4
5902492951263616256,-1
5902512467598855040,-1
6069553847482229632,-1
6070034402785343488,-1
5947877252186705152,147
5937185566775274880,-1
6030035372444188800,148
6030102545670057472,149
5238423009358302848,-1
5238437028163566208,-1
5238455062702173440,-1
5834044469795806080,150
6027823017525052928,-1
6027850024281951360,151
6027916029360918656,-1
4152149742117770112,-1
4152219728595820416,-1
2054166966577739008,152
4071652537358772480,1
5901071110939938944,153
5901225351791426304,-1
5901445078011382016,-1
4312231728800165376,154
4312275915434370944,155
4318084497950287744,156
5278264633533736192,4
5278282672413725312,4
5278284596539298944,4
5278285318113413120,4
5278293053335568384,4
5278322121674292480,4
5278352113425886976,4
5278358882307825920,-1
5278362661864535680,4
4071781867423619840,1
5901370830927579136,-1
4312092464487480960,-1
4312213346369325184,-1
4317950529337360384,-1
4318077488560126336,-1
4318111573418367872,-1
5277664781217229568,-1
5277802701207458176,157
5278232232296035328,4
5278268310025766784,4
5278292739800781952,4
5278318234722873728,4
5278404821264577792,4
5278412414766455552,4
5278451997183703424,4
5278502128040680576,4
5278511748767873280,4
5278558860263784448,4
5278574008614622848,4
5278652005223841536,4
5278660255860971520,4
5278762059462499968,4
1837011255437272448,-1
5793739981268856064,-1
2263807240870297216,-1
2264268039321997824,-1
2195937888486787840,-1
2196153362703166080,-1
2269833762886227968,-1
5961440140503495808,-1
5961495150426148096,158
245848704029608320,-1
5961523703316205952,159
4658033629154687744,4
4658035587663035904,4
4658038302103701888,4
4658039951351869696,4
4658044864811575040,4
4658047239822211072,160
4658050843251063424,4
4658055035284975616,4
4658056482594341248,4
4658061670918131328,4
4658064278038723584,4
4658064797654972544,4
4658066408242215296,4
4658066442666357760,4
4658066927918560256,4
4658067301659741568,4
