source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pm,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_rp_mean_flux,phot_rp_mean_flux_error
4009055381850567424,186.39152939386065,1.3505942,26.84271761123008,1.7382259,,,,,,,,20.354923,19.520721,17.828222,135.82422786175206,2.4115102,212.38718333909773,11.286742,585.9614834235215,16.803593
4009055824231796608,186.2907003082966,1.3226597,26.845119618874513,0.5699026,-0.03166273937306613,0.9228893,7.0219173,-4.847398293613496,2.0061972,-5.080359287525534,0.85137516,20.677681,21.130503,19.299685,100.89618283879716,1.0068442,48.218728411597525,12.690331,151.10697089127072,11.832196
4009057271635715456,186.4771275771751,5.447896,26.83076665816324,2.3380437,,,,,,,,21.149294,21.665558,21.097267,65.34750872161511,1.6592469,29.457359321336813,10.807488,28.85699001909683,11.109039
4008819948922992512,187.25164323188628,0.07323101,26.49079626065027,0.064964086,2.879165690659489,0.09035692,78.95403,-32.538571925317584,0.08606179,-71.93733682904772,0.07988074,17.370474,18.573994,16.282852,2122.0591281296,2.009621,507.9483458349443,7.8598576,2432.29953446276,9.720378
4008821937494284288,187.26138980788957,1.3960382,26.57416793556287,1.0982229,,,,,,,,20.949886,21.485706,19.779127,78.52222066003817,1.2026649,34.76438430832288,8.219258,97.16441200465034,17.709076
4008822766421540992,187.24107810865047,0.08069748,26.597554361271172,0.06960514,0.9365533368348631,0.09857826,22.018244,-20.814671238645403,0.09886375,7.180009248657117,0.08918842,17.609146,18.419302,16.74794,1703.2874103143483,1.6615391,585.7280642329797,10.504285,1584.829153958002,9.023023
4008823002644115968,187.24956180090308,0.33753043,26.61007329866426,0.26960585,-0.34650810562129736,0.39973658,3.5937033,-3.341811961477636,0.42286614,-1.3217396181456098,0.38459617,19.765915,20.095152,19.444208,233.65794845701126,0.87879395,125.12847666489141,8.460353,132.27423664937243,6.423424
4008825309042155008,187.07931427706052,0.031859778,26.619047388306285,0.027853588,3.1680150124905118,0.038622458,35.57874,-35.3294376440459,0.039658457,4.204467666652456,0.034496542,15.635726,16.604235,14.659076,10487.11921438388,4.375302,3116.9000349045136,10.300274,10852.451113556723,18.228642
4008825618279802496,187.1453113835305,0.06024511,26.65115381468646,0.05124189,1.1190753121801171,0.07371854,8.117517,1.8235479706540487,0.0732151,-7.910041529982786,0.06763178,16.81004,17.560823,15.975004,3555.7467083399765,2.2790515,1291.4793208532847,14.605315,3229.6592986221244,11.795172
4008825648343703424,187.1316937774344,0.05873534,26.659399503195523,0.048832625,3.3019254305920773,0.07143256,5.4291506,-0.16693070208792804,0.067668036,5.42658387946423,0.05973486,16.752195,18.027838,15.651967,3750.325686795778,3.0025108,840.0049615634235,13.095171,4348.81942539116,11.592571
4008825927516944896,187.11740910600489,0.67072046,26.673967070849194,0.5728562,0.5006279679331445,0.78870136,16.389652,-7.9588383409022265,0.8346767,-14.327512057193868,0.8395976,20.431763,21.164959,19.571777,126.54394479992074,0.9826438,46.71250718447235,8.0216055,117.6108710259469,7.25598
4008826679135865600,187.27712389790005,15.170897,26.67798053493414,9.021317,,,,,,,,21.662323,19.85782,18.98882,40.73964454981409,2.0265496,155.69997073836413,24.101105,201.20104495666328,10.6833315
4008827022735523200,187.24061567136,59.868973,26.716253027701466,3.1828692,,,,,,,,21.005457,20.596525,19.700365,74.60426851339393,2.1892943,78.85087298967099,1.8350431,104.47496169986415,14.76074
4008827301907040000,187.17763862966692,0.9080927,26.691858654858997,0.84947634,-2.4881050436467556,1.1251382,1.4958978,0.8391529428506436,1.4321876,1.2383587683353339,1.4230523,20.669195,20.601366,20.36706,101.6878156809501,1.1970927,78.50018790846075,9.717383,56.537208409755586,8.25809
